1;"3926909709";"опнвхе вюярх окюярлюяянбше а/с  дкъ к/юбрнлнахкеи";0.100;0.100;0.100;540.00;"USD";"EU";1;
1;"3926909709";"";0.100;0.100;0.100;1980.00;"USD";"EU";1;
1;"3926909709";"";1.000;1.000;1.000;780.00;"USD";"EU";1;
2;"3926909709";"опнвхе вюярх окюярлюяянбше а/с  дкъ к/юбрнлнахкеи";1.000;1.000;1.000;1020.00;"USD";"US";1;
2;"3926909709";"";1.000;1.000;1.000;1380.00;"USD";"US";1;
3;"4012200009";"ьхмш ашбьхе б сонрпеакемхх";11.000;11.000;11.000;660.00;"USD";"EU";1;
3;"4012200009";"";16.000;16.000;16.000;480.00;"USD";"EU";2;
3;"4012200009";"";17.000;17.000;17.000;1200.00;"USD";"EU";2;
4;"7007111009";"яРЕЙКН";1.000;1.000;1.000;240.00;"USD";"AU";1;
5;"7007111009";"яРЕЙКН АНЙНБНЕ АЕГ НАПЮЛКЕМХЪ";4.000;4.000;4.000;480.00;"USD";"EU";1;
6;"7009100009";"гЕПЙЮКН ГЮДМЕЦН БХДЮ ЯЮКНММНЕ (НОРХВЕЯЙХ МЕНАПЮАНРЮММНЕ) Б ЯАНПЕ";1.000;1.000;1.000;660.00;"USD";"EU";1;
7;"7320101100";"сГЕК ОНДБЕЯЙХ (ПЕЯЯНПЮ) Б ЯАНПЕ";24.000;24.000;24.000;420.00;"USD";"AU";1;
8;"7608208907";"рПСАЙХ ЙНМДХЖХНМЕПЮ";0.500;0.500;0.500;1140.00;"USD";"US";1;
9;"7608208907";"рПСАЙХ ЙНМДХЖХНМЕПЮ";0.500;0.500;0.500;280.80;"USD";"US";1;
10;"8301200009";"гюлйх, опедмюгмювеммше дкъ сярюмнбйх б лнрнпмшу рпюмяонпрмшу япедярбюу";0.100;0.100;0.100;540.00;"USD";"EU";1;
11;"8301200009";"гюлйх, опедмюгмювеммше дкъ сярюмнбйх б лнрнпмшу рпюмяонпрмшу япедярбюу";0.200;0.200;0.200;780.00;"USD";"US";1;
12;"8302100000";"оеркх юбрнлнахкэмше";0.500;0.500;0.500;240.00;"USD";"EU";1;
13;"8302100000";"оеркх юбрнлнахкэмше";1.000;1.000;1.000;510.00;"USD";"US";2;
13;"8302100000";"";1.000;1.000;1.000;240.00;"USD";"US";1;
14;"8302300009";"йпеоефмюъ юплюрспю,тспмхрспю х юмюкнцхвмше дерюкх дкъ лнрнпмшу рпюмяонп мшу япедярб ашбьхе б сонрпеакемхх";0.200;0.200;0.200;780.00;"USD";"US";1;
14;"8302300009";"";0.200;0.200;0.200;300.00;"USD";"US";1;
15;"8412218008";"опнвхе яхкнбше сярюмнбйх х дбхцюрекх цхдпюбкхвеяйхе кхмеимнцн деиярбхъ (жхкхмдпш) ,ашбьхе б сонрпеакемхх";2.000;2.000;2.000;567.00;"USD";"AU";1;
16;"8412218008";"опнвхе яхкнбше сярюмнбйх х дбхцюрекх цхдпюбкхвеяйхе кхмеимнцн деиярбхъ (жхкхмдпш) ,ашбьхе б сонрпеакемхх";7.000;7.000;7.000;3360.00;"USD";"EU";2;
17;"8414308909";"йНЛОПЕЯЯНП ЙНМДХЖХНМЕПЮ";3.000;3.000;3.000;1800.00;"USD";"EU";1;
18;"8414592000";"бемрхкърнпш нукюфдемхъ дбхцюрекъ б яанпе";4.000;4.000;4.000;1380.00;"USD";"JP";1;
19;"8421990008";"опнвхе вюярх нанпсднб.х сярпниярб,дкъ тхкэрпнб.хкх нвхярйх фхдйняреи хкх цюгнб";2.000;2.000;2.000;637.80;"USD";"US";1;
19;"8421990008";"";2.000;2.000;2.000;600.00;"USD";"US";1;
20;"8479899708";"ярейкнондзелмхй б яанпе";1.000;1.000;1.000;2400.00;"USD";"JP";1;
21;"8481201009";"акнй ABS  б яанпе";6.000;6.000;6.000;1260.00;"USD";"US";1;
22;"8511400008";"яРЮПРЕП";7.000;7.000;7.000;1200.00;"USD";"EU";1;
